"Country","Country Code","CPI 2016 Score","CPI 2015 Score","CPI 2014 Score","CPI 2013 Score","CPI 2012 Score",
"Bangladesh","BGD","26","25","25","27","26",
"Cameroon","CMR","26","27","27","25","26",
"Gambia","GMB","26","28","29","28","34",
"Kenya","KEN","26","25","25","27","27",
"Madagascar","MDG","26","28","28","28","32",
"Tajikistan","TJK","25","26","23","22","22",
"Uganda","UGA","25","25","26","26","29",
"Comoros","COM","24","26","26","28","28",
"Turkmenistan","TKM","22","18","17","17","17",
"Zimbabwe","ZWE","22","21","21","21","20",
"Cambodia","KHM","21","21","21","20","22",
"Uzbekistan","UZB","21","19","18","17","17",
"The Democratic Republic of Congo","COD","21","22","22","22","21",
"Haiti","HTI","20","17","19","19","19",
"Burundi","BDI","20","21","20","21","19",
"Central African Republic","CAF","20","24","24","25","26",
"Chad","TCD","20","22","22","19","19",
"Republic of Congo","COG","20","23","23","22","26",
"Angola","AGO","18","15","19","23","22",
"Eritrea","ERI","18","18","18","20","25",
"Venezuela","VEN","17","17","19","20","19",
"Iraq","IRQ","17","16","16","16","18",
"Guinea-Bissau","GNB","16","17","19","19","25",
"Afghanistan","AFG","15","11","12","8","8",
"Libya","LBY","14","16","18","15","21",
"Yemen","YEM","14","18","19","18","23",
"Sudan","SDN","14","12","11","11","13",
"Syria","SYR","13","18","20","17","26",
"Korea (North)","PRK","12","8","8","8","8",
"South Sudan","SSD","11","15","15","14",
"Somalia","SOM","10","8","8","8","8",
